time,<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
0,VCB,20090630,16.2426,16.2426,16.2426,16.2426,294070
1,VCB,20090701,16.2426,17.0547,16.1072,16.3779,6248390
2,VCB,20090702,16.3779,16.3779,15.5658,15.7011,1515670
3,VCB,20090703,15.7011,15.7011,15.1597,15.1597,899720
4,VCB,20090706,15.1597,15.8365,15.1597,15.8365,1571740
5,VCB,20090707,15.8365,15.8365,15.2951,15.2951,1115420
6,VCB,20090708,15.2951,15.2951,14.7537,15.0244,763030
7,VCB,20090709,15.0244,15.1597,14.4829,14.6183,982430
8,VCB,20090710,14.6183,14.6183,13.9415,13.9415,1973450
9,VCB,20090713,13.9415,13.9415,13.2648,13.2648,812260
10,VCB,20090714,13.2648,13.3189,12.8587,12.9399,847840
11,VCB,20090715,12.9399,13.4813,12.994,13.2648,807250
12,VCB,20090716,13.2648,13.5355,13.373,13.4813,638990
13,VCB,20090717,13.4813,13.4813,13.2106,13.2918,311000
14,VCB,20090720,13.2918,13.2918,12.6421,12.6692,869220
15,VCB,20090721,12.6692,12.9128,12.6692,12.6963,483900
16,VCB,20090722,12.6963,12.8858,12.7775,12.8587,411780
17,VCB,20090723,12.8587,13.4813,12.7233,13.4813,929090
18,VCB,20090724,13.4813,14.0769,14.0769,14.0769,624760
19,VCB,20090727,14.0769,14.7537,14.2122,14.7537,1535460
20,VCB,20090728,14.7537,15.1597,14.2122,14.3476,1192800
21,VCB,20090729,14.3476,14.6183,13.9415,14.2122,924570
22,VCB,20090730,14.2122,14.2122,13.6708,13.9415,606660
23,VCB,20090731,13.9415,14.6183,14.3476,14.6183,1125450
24,VCB,20090803,14.6183,15.2951,14.889,15.2951,2707260
25,VCB,20090804,15.2951,15.9718,15.4304,15.8365,1869220
26,VCB,20090805,15.8365,15.9718,15.4304,15.7011,1654270
27,VCB,20090806,15.7011,15.9718,15.2951,15.4304,1656340
28,VCB,20090807,15.4304,15.5658,15.2951,15.2951,1017420
29,VCB,20090810,15.2951,15.7011,15.2951,15.5658,689300
30,VCB,20090811,15.5658,15.7011,15.2951,15.4304,1207840
31,VCB,20090812,15.4304,15.5658,15.2951,15.2951,996150
32,VCB,20090813,15.2951,15.5658,15.2951,15.4304,896790
33,VCB,20090814,15.4304,15.5658,15.2951,15.4304,709790
34,VCB,20090817,15.4304,15.4304,15.1597,15.1597,622790
35,VCB,20090818,15.1597,15.1597,14.889,15.0244,927850
36,VCB,20090819,15.0244,15.2951,14.889,15.0244,719390
37,VCB,20090820,15.0244,15.1597,14.889,15.0244,578130
38,VCB,20090821,15.0244,15.7011,15.1597,15.1597,1444220
39,VCB,20090824,15.1597,15.4304,15.1597,15.2951,634370
40,VCB,20090825,15.2951,15.2951,15.0244,15.0244,577480
41,VCB,20090826,15.0244,15.2951,15.0244,15.1597,516120
42,VCB,20090827,15.1597,15.1597,15.0244,15.1597,538870
43,VCB,20090828,15.1597,15.2951,15.1597,15.2951,639140
44,VCB,20090831,15.2951,15.5658,15.2951,15.5658,874340
45,VCB,20090901,15.5658,15.5658,15.2951,15.4304,847070
46,VCB,20090903,15.4304,15.4304,14.7537,15.1597,1078760
47,VCB,20090904,15.1597,15.1597,14.7537,14.7537,1015060
48,VCB,20090907,14.7537,14.7537,14.0769,14.3476,954060
49,VCB,20090908,14.3476,14.6183,14.3476,14.4829,687300
50,VCB,20090909,14.4829,14.6183,14.3476,14.4829,682660
51,VCB,20090910,14.4829,14.4829,14.3476,14.3476,412250
52,VCB,20090911,14.3476,14.4829,14.2122,14.3476,416470
53,VCB,20090914,14.3476,14.4829,14.2122,14.3476,588470
54,VCB,20090915,14.3476,14.4829,14.2122,14.2122,727020
55,VCB,20090916,14.2122,14.889,14.889,14.889,879780
56,VCB,20090917,14.889,15.5658,14.6183,15.1597,2195540
57,VCB,20090918,15.1597,15.2951,14.6183,15.2951,850000
58,VCB,20090921,15.2951,15.2951,14.889,14.889,761980
59,VCB,20090922,14.889,14.889,14.6183,14.6183,658880
60,VCB,20090923,14.6183,15.1597,14.7537,14.7537,757950
61,VCB,20090924,14.7537,14.7537,14.4829,14.4829,541670
62,VCB,20090925,14.4829,15.1597,14.3476,15.0244,933140
